container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country,Lat,Long,,,,,list,,
Author,['basics'],DDxFvcIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Magdalena Balazinska,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DDxFvcIAAAAJ&citpid=3,University of Washington,"['Databases', 'data science', 'cloud computing', 'parallel and distributed systems', 'streams']",@cs.washington.edu,http://www.cs.washington.edu/people/faculty/magda,17283,5.34E+18,University of Washington,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],U2O2250AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,K.T.Arasu,,"Professor of Mathematics, Wright State University","['Algebra', 'Combinatorics', 'Information Theory', 'Sequences', 'Difference sets']",@wright.edu,,1617,6.82E+18,Wright State University,Japan,36.204823,138.25293,,,,,,,138.25293
Author,['basics'],nFYok08AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,R. (Inald) L. Lagendijk,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nFYok08AAAAJ&citpid=2,"University Professor of Computing-based Society, Computer Science, Delft University of Technology","['Signal Processing', 'Multimedia Retrieval', 'Information Forensics and Security', 'Watermarking', 'Privacy-Protected Signal Processing']",@tudelft.nl,https://www.tudelft.nl/en/staff/r.l.lagendijk,15918,8.15E+17,Delft University of Technology,Netherlands,52.132633,5.291266,,,,,,,5.291266
Author,['basics'],Kv9AbjMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jiawei Han,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Kv9AbjMAAAAJ&citpid=2,"Abel Bliss Professor of Computer Science, University of Illinois","['data mining', 'database systems', 'data warehousing', 'information networks']",@cs.uiuc.edu,http://www.cs.uiuc.edu/~hanj,247558,4.50E+18,University of Illinois at Urbana-Champaign,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],TZm3-pwAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yuanchun Shi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TZm3-pwAAAAJ&citpid=1,Professor,['human computer interaction'],@mail.tsinghua.edu.cn,http://pi.cs.tsinghua.edu.cn/,5811,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],EM-l50cAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Kai Zheng 郑凯,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=EM-l50cAAAAJ&citpid=4,"Professor of Computer Science, University of Electronic Science and Technology of China","['Spatio-temporal Databases', 'Spatial Crowdsourcing', 'AI4DB', 'Autonomous Driving', 'Recommendation Systems']",@uestc.edu.cn,http://zheng-kai.com/,11101,9.61E+18,University of Electronic Science and Technology of China,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],S4bByOIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xinhuan Shu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=S4bByOIAAAAJ&citpid=5,University of Edinburgh,"['Data Visualization', 'Human Computer Interaction']",@ed.ac.uk,http://shuxinhuan.github.io/,463,4.41E+18,University of Edinburgh,UK,55.378052,-3.435973,,,,,,,-3.435973
Author,['basics'],I_wmwsUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Sehyun Choi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=I_wmwsUAAAAJ&citpid=2,Hong Kong University of Science and Technology,"['Machine Learning', 'Artificial Intelligence', 'Natural Language Processing', 'XAI']",@connect.ust.hk,http://syncdoth.github.io/,20,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],TJjcm3UAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Zeying Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TJjcm3UAAAAJ&citpid=2,"American University, Department of Mathematics & Statistics",['Discrete Mathematics'],@american.edu,,248,9.19E+18,American University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],Zq4ioqu5yb8C,AuthorSource.AUTHOR_PROFILE_PAGE,Ranveer Chandra,,"Managing Director, Research for Industry, GM Networking Research, Microsoft Research","['Networking', 'Wireless', 'Food', 'Agriculture', 'Space']",@microsoft.com,http://research.microsoft.com/en-us/people/ranveer/,22334,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],8Foh_qEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Shengming Jiang,,Shanghai Maritime University,"['Wireless networks', 'computer networks', 'Marine Internet']",@shmtu.edu.cn,,3301,1.35E+19,Shanghai Maritime University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],T28rR00AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Zihao Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=T28rR00AAAAJ&citpid=5,HKUST,"['Machine Learning', 'Optimal Transport', 'Knowledge Graph', 'Graph Neural Networks', 'Logic']",@cse.ust.hk,http://zihao-wang.github.io/,202,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],7p_Ce8kAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yanai Elazar,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7p_Ce8kAAAAJ&citpid=1,Postdoctoral Researcher at AI2 & UW,"['NLP', 'ML']",@macs.biu.ac.il,https://yanaiela.github.io/,1954,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],FeJrzPMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Wei Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FeJrzPMAAAAJ&citpid=3,The Hong Kong University of Science and Technology,"['Cloud Computing', 'Machine Learning Systems', 'Big Data Systems', 'Computer Networking']",@cse.ust.hk,http://www.cse.ust.hk/~weiwa/,3706,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],MfjcVE4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Fangming Liu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MfjcVE4AAAAJ&citpid=10,"Professor, School of Computer Science & Technology, Huazhong University of Science & Technology","['Cloud Computing/Datacenter', 'Edge Computing/Mobile Cloud', 'Green Computing', 'NFV/SDN/Virtualization', '5G & applied AI/ML']",@mail.hust.edu.cn,https://fangmingliu.github.io/,6958,7.18E+18,Huazhong University of Science and Technology,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],1dEBlUMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Christodoulos Pappas,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1dEBlUMAAAAJ&citpid=2,"Electrical and Computer Engineering student, University of Thessaly","['Distributed Systems', 'Mobile Computing', 'Machine Learning']",@uth.gr,,60,4.52E+18,University of Thessaly,Greece,39.074207,21.824312,,,,,,,21.824312
Author,['basics'],0ggsACEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Shiming Xiang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0ggsACEAAAAJ&citpid=2,"National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences","['Distance Metric Learning', 'Semi-supervised Learning', 'Manifold Learning', 'Regression', 'Feature Selection']",@nlpr.ia.ac.cn,http://sites.google.com/site/smxiang/,14724,2.75E+18,"Institute of Automation, Chinese Academy of Sciences",China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],JYdXJDIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Dongni REN,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JYdXJDIAAAAJ&citpid=2,"Ph.D., The Hong Kong University of Science and Technology","['Computer Networks', 'Data Streaming']",@cse.ust.hk,,263,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],bqL73OkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Abhinav Gupta,,"Associate Professor, Robotics Institute, Carnegie Mellon University","['Computer Vision', 'Robotics']",@cs.cmu.edu,http://www.cs.cmu.edu/~abhinavg,63354,1.76E+19,Carnegie Mellon University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],Pjjq5SQAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Dipak Ghosal,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Pjjq5SQAAAAJ&citpid=2,"Professor of Computer Science, University of California, Davis",['Computer Networks'],@ucdavis.edu,https://sites.google.com/ucdavis.edu/dipak-ghosal-ucdavis/home,15908,2.13E+16,"University of California, Davis",USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],6-SBOoIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ye Yuan,,"Northeastern Univsersity, China","['database', 'algorithm']",@ise.neu.edu.cn,,8492,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],bow_liAAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jianping Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bow_liAAAAAJ&citpid=3,"Fellow of IEEE, Fellow of AAIA, Professor, City University of Hong Kong","['Autonomous Driving', 'Edge Computing', 'Cloud Computing', 'Networking']",@cityu.edu.hk,,7906,6.44E+18,City University of Hong Kong,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],09ihVXEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,King Ngi Ngan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=09ihVXEAAAAJ&citpid=2,"Emeritus Professor, The Chinese University of Hong Kong","['Visual signal processing', 'computer vision']",@cuhk.edu.hk,http://www.ee.cuhk.edu.hk/~knngan/,13328,3.22E+18,Chinese University of Hong Kong,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],IeXW2bkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jeffrey S. Vitter,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IeXW2bkAAAAJ&citpid=2,Distinguished Professor Emeritus of Computer & Information Science and Chancellor of the Univ. of,"['Algorithms', 'External Memory', 'Compressed Data Structures', 'Data Compression', 'Parallel Computing']",@OleMiss.edu,http://cs.olemiss.edu/vitter,25766,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],9GbyT1oAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Nikos Triandopoulos,,Boston University,"['Security', 'Privacy', 'Cryptography']",@cs.bu.edu,http://www.cs.bu.edu/~nikos/,3604,1.84E+19,Boston University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],iz1G3vAAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Eric W. M. Wong,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iz1G3vAAAAAJ&citpid=2,"Associate Professor of Electronic Engineering, City University of Hong Kong","['Teletraffic', 'Networking', 'Performance Evaluation', 'Queueing Theory']",@cityu.edu.hk,http://www.ee.cityu.edu.hk/~ewong/,2950,6.44E+18,City University of Hong Kong,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],63bBmc3mYrAC,AuthorSource.AUTHOR_PROFILE_PAGE,Seung-won Hwang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=63bBmc3mYrAC&citpid=2,Seoul National University,['language/data understanding'],@snu.ac.kr,http://seungwonh.github.io/,4609,9.13E+18,Seoul National University,South Korea,35.907757,127.766922,,,,,,,127.766922
Author,['basics'],KaaF6ooAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Bertram E Shi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KaaF6ooAAAAJ&citpid=1,"Professor of ECE, Hong Kong University of Science and Technology","['Neuromorphic engineering', 'computational neuroscience', 'eye gaze', 'eye movements', 'human computer interaction']",@ust.hk,http://www.ece.ust.hk/~eebert,4967,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],bW4G78gAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Dik Lun Lee,,"Professor of Computer Science and Engineering, Hong Kong University of Science and Technology","['Search engine', 'recommendation system', 'mobile computing']",@cse.UST.hk,,13088,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],3lprwmsAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xiuqiang He,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3lprwmsAAAAJ&citpid=1,"HKUST, Tencent","['Recommendation', 'Search', 'Financial technology']",@tencent.com,,6439,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],XcaEg-cAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Divyakant Agrawal,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XcaEg-cAAAAJ&citpid=3,"Distinguished Professor of Computer Science, UCSB","['Big Data & Cloud Computing', 'Databases', 'Distributed Systems', 'Data Security & Privacy']",@ucsb.edu,http://www.cs.ucsb.edu/~agrawal,29658,1.33E+19,"University of California, Santa Barbara",USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],JBCFTjoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Feng Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JBCFTjoAAAAJ&citpid=2,"Department of Computer and Information Science, The University of Mississippi",['Computer Networking'],@cs.olemiss.edu,,3394,1.14E+19,University of Mississippi,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],V3PTB98AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Tong-Yee Lee,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=V3PTB98AAAAJ&citpid=2,National Cheng-Kung University,"['computer graphics', 'visualization', 'Virtual Reality', 'multimedia', 'AI and Deep learning']",@mail.ncku.edu.tw,http://graphics.csie.ncku.edu.tw/,5842,7.71E+18,National Cheng Kung University,Taiwan,23.697809,120.960518,,,,,,,120.960518
Author,['basics'],r6wpQpQAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Mian Lu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=r6wpQpQAAAAJ&citpid=2,4Paradigm Technology,"['machine learning systems', 'GPGPU', 'high performance computing']",@4paradigm.com,,2326,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],GkMfzy4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Li Erran Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GkMfzy4AAAAJ&citpid=3,"IEEE Fellow and ACM Fellow, AWS AI, Amazon","['Machine learning', 'NLP', 'computer vision', 'systems']",@cs.columbia.edu,http://www.cs.columbia.edu/~lierranli/,22306,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],UV6mOFMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Gary K W Wong,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UV6mOFMAAAAJ&citpid=4,"Associate Professor and Director, Faculty of Education, The University of Hong Kong","['Computer Science Education', 'Computing Education', 'Computational Thinking', 'Educational Technology']",@hku.hk,http://web.edu.hku.hk/staff/academic/wongkwg,1574,2.53E+18,University of Hong Kong,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],NYHyagEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Wensheng Dou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NYHyagEAAAAJ&citpid=3,"Professor, Institute of Software Chinese Academy of Sciences (ISCAS)","['software analysis and testing', 'distributed systems', 'database systems', 'spreadsheet']",@iscas.ac.cn,http://www.tcse.cn/~wsdou/,604,7.67E+18,"Institute of Software, Chinese Academy of Sciences",China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],5Sn9JVoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Haiming Jin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5Sn9JVoAAAAJ&citpid=4,Shanghai Jiao Tong University,"['wireless sensing', 'reinforcement learning']",@sjtu.edu.cn,https://www.cs.sjtu.edu.cn/~jinhaiming/,2094,1.18E+19,Shanghai Jiao Tong University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],_Bb4qkYAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ernest T Lam,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_Bb4qkYAAAAJ&citpid=1,Epic Sciences,"['Genomics', 'next-generation sequencing', 'bioinformatics']",@epicsciences.com,https://www.linkedin.com/in/ernest-lam-61020764/,5017,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],D0lL1r0AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Philip S. Yu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=D0lL1r0AAAAJ&citpid=2,"Professor of Computer Science, University of Illinons at Chicago","['Data mining', 'Database', 'Privacy']",@cs.uic.edu,http://www.cs.uic.edu/PSYu,181958,1.18E+19,University of Illinois at Chicago,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],sDRLr8gAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Dapeng Oliver Wu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sDRLr8gAAAAJ&citpid=2,City University of Hong Kong,"['machine learning', 'communications', 'video coding', 'signal processing', 'computer vision']",@cityu.edu.hk,,21649,6.44E+18,City University of Hong Kong,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],IBy4k-4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xiaofei Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IBy4k-4AAAAJ&citpid=1,University of Memphis,"['Database Systems', 'Graph Algorithms & Practices', 'Distributed & Parallel Computing']",@memphis.edu,http://www.cs.memphis.edu/~xzhang12,430,9.80E+17,University of Memphis,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],bYvl2kwAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Gene Cheung,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bYvl2kwAAAAJ&citpid=5,"Professor, Department of EECS, York University","['3D imaging', 'graph signal processing']",@yorku.ca,https://www.eecs.yorku.ca/~genec/index.html,7171,1.43E+19,York University,Canada,56.130367,-106.346771,,,,,,,-106.346771
Author,['basics'],ol6LtJsAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Gengxin Miao,,UC Santa Barbara,"['Data mining', 'machine learning', 'social network analysis', 'information retrieval', 'information extraction and integration...']",@umail.ucsb.edu,http://www.uweb.ucsb.edu/~miao/,1229,1.33E+19,"University of California, Santa Barbara",USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],DglezXoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Tony C. W. Mok,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DglezXoAAAAJ&citpid=7,Alibaba DAMO Academy,"['Medical image registration', 'Medical image analysis', 'Computer Vision', 'Deep learning']",@connect.ust.hk,https://cwmok.github.io/,679,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],WgyDcoUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ross Anderson,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WgyDcoUAAAAJ&citpid=2,University of Cambridge,"['Security', 'cryptology', 'dependability', 'technology policy']",@cl.cam.ac.uk,http://www.cl.cam.ac.uk/~rja14,43735,1.17E+19,University of Cambridge,UK,55.378052,-3.435973,,,,,,,-3.435973
Author,['basics'],Fo52NKoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xinyi Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Fo52NKoAAAAJ&citpid=1,"Research Scientist, Google DeepMind",['Natural Language Processing'],@google.com,http://cindyxinyiwang.github.io/,945,6.52E+18,Google Inc.,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],8nA3VlUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Hyukryul Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8nA3VlUAAAAJ&citpid=1,Hong Kong University of Science and Technology,"['Computer Vision', 'Reinforcement Learning', 'Audio processing']",@connect.ust.hk,https://hyeokreal.github.io/,12,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],GukM99cAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Hisashi Kobayashi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GukM99cAAAAJ&citpid=2,"Professor emeritus, Princeton University","['Communication Theory', 'Modeling & Analysis', 'Applied Probability', 'Internet Architecture', 'The Riemann Hypothesis']",@princeton.edu,http://hisashikobayashi.com/,13304,4.84E+18,Princeton University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],60JRBiEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Kiarash Mohammadi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=60JRBiEAAAAJ&citpid=4,"Mila, University of Montreal","['Trustworthy ML', 'Probabilistic Methods', 'Causality']",@mila.quebec,https://sites.google.com/view/kiarashinho,46,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],JHwivywAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Pei Cao,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JHwivywAAAAJ&citpid=1,Google Inc. and Stanford University,"['Computer Systems', 'Web', 'Networks']",@cs.stanford.edu,http://crypto.stanford.edu/~cao,18352,8.54E+18,Stanford University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],P5AJTXcAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Rui (Ranger) FAN,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P5AJTXcAAAAJ&citpid=85,"Professor, Tongji University and SRIAS","['Computer Vision', 'Deep Learning', 'Robotics']",@tongji.edu.cn,https://www.ruirangerfan.com/,2061,9.23E+18,Tongji University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],_WbktxMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Prof Shui Yu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_WbktxMAAAAJ&citpid=6,"FIEEE, BoG of IEEE ComSoc and VTS, School of Computer Science, University of Technology Sydney","['Network Science', 'Security and Privacy', 'Big Data', 'Mathematical Modelling']",@uts.edu.au,https://www.uts.edu.au/staff/shui.yu,19832,1.09E+19,University of Technology Sydney,Australia,-25.274399,133.775131,,,,,,,133.775131
Author,['basics'],SLMkts8AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Chih-Jen Lin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SLMkts8AAAAJ&citpid=2,"Distinguished professor, National Taiwan University and affiliated professor, MBZUAI","['Machine learning', 'Data Mining', 'Optimization', 'Artificial Intelligence']",@csie.ntu.edu.tw,http://www.csie.ntu.edu.tw/~cjlin,117517,1.50E+19,National Taiwan University,Taiwan,23.697809,120.960518,,,,,,,120.960518
Author,['basics'],uZdQxkwAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Deqing Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uZdQxkwAAAAJ&citpid=1,"School of Data Science, Fudan University",[],@fudan.edu.cn,http://kw.fudan.edu.cn/people/yangdeqing/,458,1.35E+19,Fudan University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],0e-DfpEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xun Jian,,The Hong Kong University of Science and Technology,[],@cse.ust.hk,,329,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],82yU330AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Guochuan Zhang,,Zhejiang University,['computer science'],@zju.edu.cn,,2375,1.12E+18,Zhejiang University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],aGag4V4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Lingling YI,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aGag4V4AAAAJ&citpid=2,Tencent,"['network embedding', 'social network analysis']",@tencent.com,,229,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],Azu2w_MAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Sunil Arya,,"Associate Professor, Computer Science and Engineering, Hong Kong University of Science and",['Computational Geometry'],@cse.ust.hk,,7288,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],Lz-e_eIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Guotao Meng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Lz-e_eIAAAAJ&citpid=2,Hong Kong University of Science and Technology,"['Deep Learning', 'Robotics']",@connect.ust.hk,,379,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],cR2dd0oAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yanhong Wu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cR2dd0oAAAAJ&citpid=2,Meta,"['Graph Modeling', 'Deep Learning', 'Visual Analytics']",@meta.com,http://yhwu.me/,1205,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],cwKg158AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Rene Ranftl,,Epic Games,['Computer Vision'],@epicgames.com,,6566,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],BmaJwicAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Dingzeyu Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BmaJwicAAAAJ&citpid=8,Senior Research Scientist @ Adobe Research,"['Audiovisual', 'Cross-modal', 'Synthesis']",@adobe.com,http://dingzeyu.li/,1461,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],84VKAOtBpz4C,AuthorSource.AUTHOR_PROFILE_PAGE,Yinan Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=84VKAOtBpz4C&citpid=1,Microsoft Research,"['Database systems', 'Big Data']",@microsoft.com,https://research.microsoft.com/~yinali,1925,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],Oyi6xjoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Panos Parchas,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Oyi6xjoAAAAJ&citpid=2,Amazon Web Services,"['Graphs', 'Uncertain Graphs', 'Database Systems', 'Graph Databases']",@amazon.com,http://www.linkedin.com/in/panos-parchas,169,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],xFvazpsAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,jiansong zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xFvazpsAAAAJ&citpid=3,NIO,"['heterogeneous computing', 'Machine Learning Systems', 'Networking Systems']",@nio.com,,3261,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],DSqhTz8AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,An Lu,,The Hong Kong University of Science and Technology,"['Radio-Frequency Identification (RFID)', 'Internet of Things (IOT)', 'Databases and Data Mining', 'Artificial Intelligence']",@cse.ust.hk,http://www.cse.ust.hk/~anlu/,618,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
